time	p	height	baseradius	curvatureRadius	strain	tension	SourceFile
-30	-0	-11.6237226	0	-5.8118613	Inf	0	2021_02_17__12_33_03_D1_CPE.dat
-28.94	-0	-8.8561696	0	-4.4280848	Inf	0	2021_02_17__12_33_03_D1_CPE.dat
-27.88	-0	0	0	NaN	NaN	NaN	2021_02_17__12_33_03_D1_CPE.dat
-26.82	-0	0	0	NaN	NaN	NaN	2021_02_17__12_33_03_D1_CPE.dat
-25.76	-0	0	0	NaN	NaN	NaN	2021_02_17__12_33_03_D1_CPE.dat
-24.7	-0	0	0	NaN	NaN	NaN	2021_02_17__12_33_03_D1_CPE.dat
-23.64	-0	2.767553	0	1.3837765	Inf	-0	2021_02_17__12_33_03_D1_CPE.dat
-22.58	-0	0	0	NaN	NaN	NaN	2021_02_17__12_33_03_D1_CPE.dat
-21.52	-0	2.767553	0	1.3837765	Inf	-0	2021_02_17__12_33_03_D1_CPE.dat
-20.46	-0	0	0	NaN	NaN	NaN	2021_02_17__12_33_03_D1_CPE.dat
-19.4	-0	-11.6237226	0	-5.8118613	Inf	0	2021_02_17__12_33_03_D1_CPE.dat
-18.34	-0	-11.6237226	0	-5.8118613	Inf	0	2021_02_17__12_33_03_D1_CPE.dat
-17.28	-0	-8.8561696	0	-4.4280848	Inf	0	2021_02_17__12_33_03_D1_CPE.dat
-16.22	-0	-11.070212	0	-5.535106	Inf	0	2021_02_17__12_33_03_D1_CPE.dat
-15.16	-0	2.2140424	0	1.1070212	Inf	-0	2021_02_17__12_33_03_D1_CPE.dat
-14.1	-0	0	0	NaN	NaN	NaN	2021_02_17__12_33_03_D1_CPE.dat
-13.04	-0	-2.767553	0	-1.3837765	Inf	0	2021_02_17__12_33_03_D1_CPE.dat
-11.98	-0	-11.6237226	0	-5.8118613	Inf	0	2021_02_17__12_33_03_D1_CPE.dat
-10.92	-0	0	0	NaN	NaN	NaN	2021_02_17__12_33_03_D1_CPE.dat
-9.86	-0	0	0	NaN	NaN	NaN	2021_02_17__12_33_03_D1_CPE.dat
-8.8	-0	0	0	NaN	NaN	NaN	2021_02_17__12_33_03_D1_CPE.dat
-7.74	-0	2.767553	0	1.3837765	Inf	-0	2021_02_17__12_33_03_D1_CPE.dat
-6.68	-0	2.2140424	0	1.1070212	Inf	-0	2021_02_17__12_33_03_D1_CPE.dat
-5.62	-0	-11.6237226	0	-5.8118613	Inf	0	2021_02_17__12_33_03_D1_CPE.dat
-4.56	-0	2.2140424	0	1.1070212	Inf	-0	2021_02_17__12_33_03_D1_CPE.dat
-3.5	-0	-11.070212	0	-5.535106	Inf	0	2021_02_17__12_33_03_D1_CPE.dat
-2.44	-0	0	0	NaN	NaN	NaN	2021_02_17__12_33_03_D1_CPE.dat
-1.38	-0	-11.6237226	0	-5.8118613	Inf	0	2021_02_17__12_33_03_D1_CPE.dat
-0.32	-0	2.767553	0	1.3837765	Inf	-0	2021_02_17__12_33_03_D1_CPE.dat
0.740000000000002	14.8	0	0	NaN	NaN	NaN	2021_02_17__12_33_03_D1_CPE.dat
1.8	36	2.2140424	0	1.1070212	Inf	19.9263816	2021_02_17__12_33_03_D1_CPE.dat
2.86	57.2	-8.8561696	0	-4.4280848	Inf	-126.64322528	2021_02_17__12_33_03_D1_CPE.dat
3.92	78.4	2.2140424	2.4907977	2.50809490625	0.790123456790123	98.3173203250001	2021_02_17__12_33_03_D1_CPE.dat
4.98	99.6000000000001	-6.0886166	8.0259037	-8.33410846590909	0.57550535077289	-415.038601602273	2021_02_17__12_33_03_D1_CPE.dat
6.04	120.8	2.767553	13.5610097	0	0.041649312786339	0	2021_02_17__12_33_03_D1_CPE.dat
7.1	142	2.2140424	19.372871	0	0.0130612244897959	0	2021_02_17__12_33_03_D1_CPE.dat
8.16	163.2	2.767553	24.907977	0	0.0123456790123457	0	2021_02_17__12_33_03_D1_CPE.dat
9.22	184.4	-11.6237226	30.443083	-45.6778033238095	0.145785123966942	-4211.49346645524	2021_02_17__12_33_03_D1_CPE.dat
10.28	200	0	34.0409019	0	0	0	2021_02_17__12_33_03_D1_CPE.dat
11.34	200	-8.8561696	35.1479231	0	0.0634881269762539	0	2021_02_17__12_33_03_D1_CPE.dat
12.4	200	2.767553	35.1479231	0	0.0062000124000248	0	2021_02_17__12_33_03_D1_CPE.dat
13.46	200	4.9815954	35.4246784	0	0.019775390625	0	2021_02_17__12_33_03_D1_CPE.dat
14.52	200	-11.070212	35.7014337	0	0.0961480680247581	0	2021_02_17__12_33_03_D1_CPE.dat
15.58	200	0	35.7014337	0	0	0	2021_02_17__12_33_03_D1_CPE.dat
16.64	200	4.9815954	35.7014337	0	0.0194699837750135	0	2021_02_17__12_33_03_D1_CPE.dat
17.7	200	0	36.2549443	0	0	0	2021_02_17__12_33_03_D1_CPE.dat
18.76	200	-8.8561696	36.2549443	0	0.0596701823903036	0	2021_02_17__12_33_03_D1_CPE.dat
19.82	200	4.9815954	36.5316996	0	0.0185950413223141	0	2021_02_17__12_33_03_D1_CPE.dat
20.88	200	-11.6237226	36.5316996	-63.2188178142857	0.101239669421488	-6321.88178142857	2021_02_17__12_33_03_D1_CPE.dat
21.94	200	4.9815954	36.8084549	0	0.0183164678613828	0	2021_02_17__12_33_03_D1_CPE.dat
23	200	-8.302659	37.0852102	0	0.0501225217197594	0	2021_02_17__12_33_03_D1_CPE.dat
24.06	200	-8.8561696	37.0852102	0	0.0570282913789263	0	2021_02_17__12_33_03_D1_CPE.dat
25.12	200	-6.0886166	37.0852102	0	0.0269547783470706	0	2021_02_17__12_33_03_D1_CPE.dat
26.18	200	-6.0886166	37.6387208	0	0.0261678200692042	0	2021_02_17__12_33_03_D1_CPE.dat
27.24	200	-6.0886166	37.6387208	0	0.0261678200692042	0	2021_02_17__12_33_03_D1_CPE.dat
28.3	200	-6.0886166	37.9154761	0	0.0257872023016676	0	2021_02_17__12_33_03_D1_CPE.dat
29.36	200	-5.535106	37.9154761	0	0.0213117374393947	0	2021_02_17__12_33_03_D1_CPE.dat
30.42	200	-0.5535106	38.1922314	0	0.000210039907582441	0	2021_02_17__12_33_03_D1_CPE.dat
31.48	200	-5.535106	38.4689867	0	0.0207028621706951	0	2021_02_17__12_33_03_D1_CPE.dat
32.54	200	-8.8561696	38.4689867	0	0.0529993271569795	0	2021_02_17__12_33_03_D1_CPE.dat
33.6	200	-4.9815954	38.745742	0	0.016530612244898	0	2021_02_17__12_33_03_D1_CPE.dat
34.66	200	0	39.0224973	0	0	0	2021_02_17__12_33_03_D1_CPE.dat
35.72	200	-0.5535106	39.0224973	0	0.000201197122881143	0	2021_02_17__12_33_03_D1_CPE.dat
36.78	200	-5.535106	39.2992526	0	0.0198373338623289	0	2021_02_17__12_33_03_D1_CPE.dat
37.84	200	2.2140424	39.5760079	0	0.00312973739547166	0	2021_02_17__12_33_03_D1_CPE.dat
38.9	200	2.2140424	39.5760079	0	0.00312973739547166	0	2021_02_17__12_33_03_D1_CPE.dat
39.96	200	0	39.8527632	0	0	0	2021_02_17__12_33_03_D1_CPE.dat
41.02	200	4.9815954	39.8527632	0	0.015625	0	2021_02_17__12_33_03_D1_CPE.dat
42.08	200	5.535106	40.4062738	0	0.0187652467629949	0	2021_02_17__12_33_03_D1_CPE.dat
43.14	200	5.535106	40.4062738	0	0.0187652467629949	0	2021_02_17__12_33_03_D1_CPE.dat
44.2	200	8.302659	40.4062738	0	0.0422218052167386	0	2021_02_17__12_33_03_D1_CPE.dat
45.26	200	8.302659	40.6830291	0	0.041649312786339	0	2021_02_17__12_33_03_D1_CPE.dat
